"btrim","btrim","st_astext","st_asgeojson"
"1668","The Barrington","POINT(151.006410747639 -33.815479162648)","{""type"":""MultiPolygon"",""coordinates"":[[[[151.006155000000007,-33.815142000000002],[151.006552999999997,-33.815227],[151.006547000000012,-33.815246999999999],[151.00681800000001,-33.815317999999998],[151.006662000000006,-33.815797000000003],[151.006637000000012,-33.815807999999997],[151.006081999999992,-33.815683999999997],[151.006052000000011,-33.815669999999997],[151.006034,-33.815645000000004],[151.006032000000005,-33.815615999999999],[151.006155000000007,-33.815142000000002]]]]}"
"1688","Centenary Square","POINT(153.031168059511 -27.4597025388373)","{""type"":""MultiPolygon"",""coordinates"":[[[[153.031092000000001,-27.460108000000002],[153.031010000000009,-27.460039999999999],[153.030969999999996,-27.459980000000002],[153.030944000000005,-27.459346],[153.030959999999993,-27.459318],[153.030986000000013,-27.459302000000001],[153.031016999999991,-27.459301],[153.031046000000003,-27.459313000000002],[153.031556999999992,-27.459714000000002],[153.031452000000002,-27.459821000000002],[153.031438000000009,-27.459809],[153.031340999999998,-27.459907999999999],[153.031318999999996,-27.459890000000001],[153.031257000000011,-27.459952000000001],[153.031190000000009,-27.460011000000002],[153.031092000000001,-27.460108000000002]]]]}"
"1813","Global Switch Colocate Site","POINT(151.197704985593 -33.8755966536001)","{""type"":""MultiPolygon"",""coordinates"":[[[[151.197879999999998,-33.876255999999998],[151.197870999999992,-33.876254000000003],[151.197863000000012,-33.876252000000001],[151.197856000000002,-33.876249000000001],[151.197847999999993,-33.876244999999997],[151.197841000000011,-33.876241],[151.197834999999998,-33.876235999999999],[151.197829000000013,-33.87623],[151.19781900000001,-33.876218999999999],[151.197609999999997,-33.875867],[151.197552999999999,-33.875768999999998],[151.197171999999995,-33.875107],[151.197593000000012,-33.874938],[151.197598999999997,-33.874949999999998],[151.197800999999998,-33.875311000000004],[151.197859999999991,-33.875438000000003],[151.197877000000005,-33.875432000000004],[151.198061999999993,-33.875827000000001],[151.198092000000003,-33.875850999999997],[151.198092000000003,-33.875870999999997],[151.198237000000006,-33.876112999999997],[151.197879999999998,-33.876255999999998]]]]}"
"1844","23-25 Waterloo Road","POINT(151.131799338761 -33.786635161972)","{""type"":""MultiPolygon"",""coordinates"":[[[[151.131976000000009,-33.786132000000002],[151.131236999999999,-33.786855000000003],[151.131621999999993,-33.787139000000003],[151.132286999999991,-33.786487999999999],[151.132362000000001,-33.786414000000001],[151.131976000000009,-33.786132000000002]]]]}"
"1889","AAPT Glebe CO1","POINT(151.182671161865 -33.8832053411317)","{""type"":""MultiPolygon"",""coordinates"":[[[[151.183042,-33.883291],[151.182628999999991,-33.883526000000003],[151.182442000000009,-33.883291999999997],[151.182300999999995,-33.883116999999999],[151.182712000000009,-33.882885999999999],[151.182962000000003,-33.883192999999999],[151.183042,-33.883291]]]]}"
"1954","Optus Data Centre","POINT(151.198789269747 -33.8786892700519)","{""type"":""MultiPolygon"",""coordinates"":[[[[151.19905700000001,-33.878767000000003],[151.198689999999999,-33.878906000000001],[151.198522999999994,-33.878613000000001],[151.19888499999999,-33.878470999999998],[151.19905700000001,-33.878767000000003]]]]}"
"2002","3 Brookhollow Avenue","POINT(150.967407834666 -33.7323977239186)","{""type"":""MultiPolygon"",""coordinates"":[[[[150.967630000000014,-33.732807999999999],[150.966891000000004,-33.732280000000003],[150.967183000000006,-33.731988999999999],[150.967924000000011,-33.732511000000002],[150.967630000000014,-33.732807999999999]]]]}"
"2006","148 Brunswick Street","POINT(153.031559341893 -27.4553260905215)","{""type"":""MultiPolygon"",""coordinates"":[[[[153.031571000000014,-27.454955999999999],[153.03185400000001,-27.455176999999999],[153.031607000000008,-27.455428999999999],[153.031860999999992,-27.45562],[153.031769999999995,-27.455701999999999],[153.031746999999996,-27.455718000000001],[153.031720000000007,-27.455719999999999],[153.031687000000005,-27.455708000000001],[153.031202000000008,-27.455328999999999],[153.031385999999998,-27.455138999999999],[153.031571000000014,-27.454955999999999]]]]}"
"2134","221 Dryburgh St","POINT(144.943392656589 -37.8011241207382)","{""type"":""MultiPolygon"",""coordinates"":[[[[144.943153999999993,-37.801006999999998],[144.943666000000007,-37.801068000000001],[144.943633000000005,-37.801245999999999],[144.943354999999997,-37.801215999999997],[144.943360000000013,-37.801197000000002],[144.943095,-37.801167999999997],[144.943153999999993,-37.801006999999998]]]]}"
"2793","180 Burnley Street","POINT(145.007619748644 -37.8202334799729)","{""type"":""MultiPolygon"",""coordinates"":[[[[145.007644999999997,-37.820017999999997],[145.007248000000004,-37.819975999999997],[145.007247000000007,-37.819974999999999],[145.007159000000001,-37.820422000000001],[145.007475999999997,-37.820456],[145.007479999999987,-37.820439999999998],[145.007515000000012,-37.820444000000002],[145.00756899999999,-37.820449000000004],[145.00756899999999,-37.820452000000003],[145.007993999999997,-37.820492000000002],[145.007994999999994,-37.820492000000002],[145.008074999999991,-37.820044000000003],[145.008073999999993,-37.820044000000003],[145.007650000000012,-37.819999000000003],[145.007644999999997,-37.820017999999997]]]]}"
